Organization,Country
International Youth Foundation,Montenegro
Lions Club International Foundation,Montenegro
Project C.U.R.E,Montenegro
World Vision,Montenegro
PCI-Media Impact,Montserrat
Adventist Development and Relief Agency International,Morocco
American Jewish Joint Distribution Committee,Morocco
AmeriCares,Morocco
America's Development Foundation,Morocco
International Social Service - United States of America Branch Inc.,Australia
CARE,Morocco
CBM,Morocco
Development Gateway,Morocco
Global Health Council,Morocco
GlobalGiving,Morocco
Handicap International USA,Morocco
International Center for Not-for-Profit Law,Morocco
International Youth Foundation,Morocco
Lions Club International Foundation,Morocco
Operation USA,Morocco
Physicians for Peace,Morocco
Project C.U.R.E,Morocco
ProLiteracy Worldwide,Morocco
Solidarity Center,Morocco
U.S. Committee for Refugees & Immigrants,Morocco
World Connect,Morocco
ACDI/VOCA,Mozambique
International Youth Foundation,Albania
International Youth Foundation,Antigua and Barbuda
International Youth Foundation,Argentina
International Youth Foundation,Australia
ActionAid International USA,Mozambique
Adventist Development and Relief Agency International,Mozambique
African Medical & Research Foundation,Mozambique
Africare,Mozambique
Aga Khan Foundation USA,Mozambique
Air Serv International,Mozambique
American Red Cross International Services,Mozambique
America's Development Foundation,Mozambique
Ananda Marga Universal Relief Team,Mozambique
Baptist World Alliance,Mozambique
Brother's Brother Foundation,Mozambique
CARE,Mozambique
ChildFund International,Mozambique
Christian Reformed World Relief Committee,Mozambique
Church World Service,Mozambique
Concern America,Mozambique
CONCERN Worldwide,Mozambique
Congressional Hunger Center,Mozambique
Development Gateway,Mozambique
Episcopal Relief & Development,Mozambique
Global Health Council,Mozambique
GlobalGiving,Mozambique
Habitat for Humanity International,Mozambique
Handicap International USA,Mozambique
Heifer International,Mozambique
Helen Keller International,Mozambique
HelpAge USA,Mozambique
International Center for Research on Women (ICRW),Mozambique
International Relief & Development,Mozambique
Jhpiego,Mozambique
Latter-day Saint Charities,Mozambique
Lions Club International Foundation,Mozambique
Management Sciences for Health (MSH),Mozambique
Medical Teams International,Mozambique
PATH,Mozambique
Pathfinder International,Mozambique
Plan,Mozambique
Planet Aid,Mozambique
Project C.U.R.E,Mozambique
Save the Children,Mozambique
Solidarity Center,Mozambique
Stop Hunger Now,Mozambique
The Hunger Project,Mozambique
United Nations Foundation,Mozambique
Water Aid America,Mozambique
Winrock International,Mozambique
World Hope International,Mozambique
World Relief,Mozambique
World Vision,Mozambique
Action Against Hunger | ACF International,Myanmar
ActionAid International USA,Myanmar
Adventist Development and Relief Agency International,Myanmar
American Friends Service Committee,Myanmar
American Jewish Joint Distribution Committee,Myanmar
American Jewish World Service,Myanmar
AmeriCares,Myanmar
Ananda Marga Universal Relief Team,Myanmar
Baptist World Alliance,Myanmar
CARE,Myanmar
Catholic Relief Services,Myanmar
CBM,Myanmar
Christian Reformed World Relief Committee,Myanmar
Church World Service,Myanmar
Direct Relief International,Myanmar
Episcopal Relief & Development,Myanmar
Friends of ACTED,Myanmar
Giving Children Hope,Myanmar
Global Health Council,Myanmar
Habitat for Humanity International,Myanmar
Helen Keller International,Myanmar
HelpAge USA,Myanmar
IntraHealth International Inc.,Armenia
Information Management and Mine Action Programs (IMMAP),Myanmar
International Medical Health Organization (IMHO),Myanmar
International Rescue Committee (IRC),Myanmar
Jesuit Refugee Service,Myanmar
Lions Club International Foundation,Myanmar
Medical Emergency Relief International (Merlin),Myanmar
Mercy Corps,Myanmar
Operation USA,Myanmar
Oxfam America,Myanmar
Pact,Myanmar
Project C.U.R.E,Myanmar
Refugees International,Myanmar
Relief International,Myanmar
Save the Children,Myanmar
Solidarity Center,Myanmar
Stop Hunger Now,Myanmar
Taiwan Buddhist Tzu Chi Foundation,Myanmar
U.S. Committee for Refugees & Immigrants,Myanmar
Unitarian Universalist Service Committee,Myanmar
World Concern,Myanmar
World Learning,Myanmar
World Vision,Myanmar
Adventist Development and Relief Agency International,Namibia
African Medical & Research Foundation,Namibia
American Jewish World Service,Namibia
American Red Cross International Services,Namibia
Baptist World Alliance,Namibia
Islamic Relief USA,Afghanistan
Islamic Relief USA,Albania
Catholic Relief Services,Namibia
Episcopal Relief & Development,Namibia
Global Health Council,Namibia
GlobalGiving,Namibia
International Center for Research on Women (ICRW),Namibia
International Rescue Committee (IRC),Namibia
IntraHealth International Inc.,Namibia
Lions Club International Foundation,Namibia
Management Sciences for Health (MSH),Namibia
Pact,Namibia
Project C.U.R.E,Namibia
Winrock International,Namibia
World Wildlife Fund (WWF),Namibia
ActionAid International USA,Nepal
Adventist Development and Relief Agency International,Nepal
American Red Cross International Services,Nepal
AmeriCares,Nepal
Baptist World Alliance,Nepal
CARE,Nepal
Catholic Relief Services,Nepal
CBM,Nepal
Jesuit Refugee Service,Afghanistan
Jesuit Refugee Service,Angola
Jesuit Refugee Service,Australia
Centre for Development and Population Activities,Nepal
CONCERN Worldwide,Nepal
Development Gateway,Nepal
Direct Relief International,Nepal
Global Fund for Children,Nepal
Global Health Council,Nepal
Global Resource Services,Nepal
GlobalGiving,Nepal
Habitat for Humanity International,Nepal
Handicap International USA,Nepal
Heifer International,Nepal
Helen Keller International,Nepal
HelpAge USA,Nepal
Holt International Children's Services,Nepal
International Center for Not-for-Profit Law,Nepal
International Center for Research on Women (ICRW),Nepal
International Foundation for Electoral Systems (IFES),Nepal
International Relief & Development,Nepal
International Rescue Committee (IRC),Nepal
IntraHealth International Inc.,Nepal
Jesuit Refugee Service,Nepal
Jhpiego,Nepal
Lions Club International Foundation,Nepal
Lutheran World Relief (LWR),Nepal
Management Sciences for Health (MSH),Nepal
Medical Emergency Relief International (Merlin),Nepal
Mercy Corps,Nepal
Pathfinder International,Nepal
Perkins International,Nepal
Plan,Nepal
Project C.U.R.E,Nepal
ProLiteracy Worldwide,Nepal
Relief International,Nepal
ReSurge International,Nepal
Save the Children,Nepal
Seva Foundation,Nepal
Society for International Development (SID),Nepal
Solar Cookers International,Nepal
Solidarity Center,Nepal
Taiwan Buddhist Tzu Chi Foundation,Nepal
U.S. Committee for Refugees & Immigrants,Nepal
Water Aid America,Nepal
Winrock International,Nepal
World Concern,Nepal
World Hope International,Nepal
World Neighbors,Nepal
World Vision,Nepal
World Wildlife Fund (WWF),Nepal
Americas ReliefTeam,Netherland Antilles
ActionAid International USA,Netherlands
Adventist Development and Relief Agency International,Netherlands
AmeriCares,Netherlands
Baptist World Alliance,Netherlands
Jhpiego,Afghanistan
Jhpiego,Albania
Jhpiego,Angola
Global Health Council,Netherlands
GlobalGiving,Netherlands
Habitat for Humanity International,Netherlands
International Social Service - United States of America Branch Inc.,Netherlands
International Youth Foundation,Netherlands
Lions Club International Foundation,Netherlands
Society for International Development (SID),Netherlands
Taiwan Buddhist Tzu Chi Foundation,Netherlands
The Hunger Project,Netherlands
World Society for the Protection of Animals,Netherlands
Adventist Development and Relief Agency International,New Zealand
American Red Cross International Services,New Zealand
Baptist World Alliance,New Zealand
B'nai B'rith International,New Zealand
Global Health Council,New Zealand
GlobalGiving,New Zealand
Habitat for Humanity International,New Zealand
International Center for Not-for-Profit Law,New Zealand
International Social Service - United States of America Branch Inc.,New Zealand
Lions Club International Foundation,New Zealand
Population Action International,New Zealand
Presbyterian Disaster Assistance,New Zealand
Taiwan Buddhist Tzu Chi Foundation,New Zealand
The Hunger Project,New Zealand
United Way Worldwide,New Zealand
World Society for the Protection of Animals,New Zealand
ACDI/VOCA,Nicaragua
Action Against Hunger | ACF International,Nicaragua
ActionAid International USA,Nicaragua
Adventist Development and Relief Agency International,Nicaragua
American Jewish World Service,Nicaragua
American Red Cross International Services,Nicaragua
AmeriCares,Nicaragua
America's Development Foundation,Nicaragua
Americas ReliefTeam,Nicaragua
Amigos de las Americas,Nicaragua
Baptist World Alliance,Nicaragua
Brother's Brother Foundation,Nicaragua
CARE,Nicaragua
Catholic Relief Services,Nicaragua
CBM,Nicaragua
CHF International,Nicaragua
Christian Reformed World Relief Committee,Nicaragua
Church World Service,Nicaragua
Development Gateway,Nicaragua
Direct Relief International,Nicaragua
Episcopal Relief & Development,Nicaragua
Food for the Poor (FFP),Nicaragua
Friends of ACTED,Nicaragua
Giving Children Hope,Nicaragua
Global Fund for Children,Nicaragua
Global Health Council,Nicaragua
Global Links,Nicaragua
GlobalGiving,Nicaragua
Habitat for Humanity International,Nicaragua
Handicap International USA,Nicaragua
Heart to Heart International,Nicaragua
Heifer International,Nicaragua
Life for Relief and Development,Afghanistan
International Center for Not-for-Profit Law,Nicaragua
International Center for Research on Women (ICRW),Nicaragua
International Foundation for Electoral Systems (IFES),Nicaragua
International Youth Foundation,Nicaragua
IntraHealth International Inc.,Nicaragua
Lions Club International Foundation,Nicaragua
Lutheran World Relief (LWR),Nicaragua
Management Sciences for Health (MSH),Nicaragua
Medical Teams International,Nicaragua
Mercy Corps,Nicaragua
Operation Blessing International Relief and Development Corporation,Nicaragua
Operation USA,Nicaragua
Outreach International,Nicaragua
Pact,Nicaragua
PATH,Nicaragua
PCI (Project Concern International),Nicaragua
Lions Club International Foundation,Afghanistan
Lions Club International Foundation,Albania
Lions Club International Foundation,Algeria
Lions Club International Foundation,Angola
Lions Club International Foundation,Anguilla
Lions Club International Foundation,Antigua and Barbuda
Lions Club International Foundation,Argentina
Lions Club International Foundation,Armenia
Lions Club International Foundation,Australia
Perkins International,Nicaragua
Physicians for Peace,Nicaragua
Plan,Nicaragua
Project C.U.R.E,Nicaragua
ProLiteracy Worldwide,Nicaragua
ReSurge International,Nicaragua
Save the Children,Nicaragua
Solidarity Center,Nicaragua
Stop Hunger Now,Nicaragua
Taiwan Buddhist Tzu Chi Foundation,Nicaragua
Trickle Up Program,Nicaragua
Unitarian Universalist Service Committee,Nicaragua
United Way Worldwide,Nicaragua
Water Aid America,Nicaragua
World Concern,Nicaragua
World Learning,Nicaragua
World Relief,Nicaragua
World Vision,Nicaragua
Action Against Hunger | ACF International,Niger
Adventist Development and Relief Agency International,Niger
Africare,Niger
American Red Cross International Services,Niger
AmeriCares,Niger
Brother's Brother Foundation,Niger
CARE,Niger
Catholic Relief Services,Niger
CBM,Niger
Christian Reformed World Relief Committee,Niger
CONCERN Worldwide,Niger
Counterpart International,Niger
Development Gateway,Niger
Direct Relief International,Niger
Friends of ACTED,Niger
Giving Children Hope,Niger
Global Health Council,Niger
GlobalGiving,Niger
Handicap International USA,Niger
Helen Keller International,Niger
Helping Hand for Relief and Development,Niger
International Foundation for Electoral Systems (IFES),Niger
International Relief & Development,Niger
Islamic Relief USA,Niger
Lions Club International Foundation,Niger
Lutheran World Relief (LWR),Niger
Management Sciences for Health (MSH),Niger
Medical Teams International,Niger
Mercy Corps,Niger
Operation Blessing International Relief and Development Corporation,Niger
Plan,Niger
ProLiteracy Worldwide,Niger
Relief International,Niger
Stop Hunger Now,Niger
Winrock International,Niger
World Concern,Niger
World Vision,Niger
Action Against Hunger | ACF International,Nigeria
ActionAid International USA,Nigeria
Adventist Development and Relief Agency International,Nigeria
African Medical & Research Foundation,Nigeria
Africare,Nigeria
American Jewish World Service,Nigeria
American Red Cross International Services,Nigeria
AmeriCares,Nigeria
Ananda Marga Universal Relief Team,Nigeria
Baptist World Alliance,Nigeria
Brother's Brother Foundation,Nigeria
Catholic Relief Services,Nigeria
CBM,Nigeria
Centre for Development and Population Activities,Nigeria
Christian Reformed World Relief Committee,Nigeria
Giving Children Hope,Nigeria
Global Fund for Children,Nigeria
Global Health Council,Nigeria
GlobalGiving,Nigeria
Heart to Heart International,Nigeria
Heartland Alliance,Nigeria
Helen Keller International,Nigeria
International Center for Not-for-Profit Law,Nigeria
International Center for Research on Women (ICRW),Nigeria
International Foundation for Electoral Systems (IFES),Nigeria
International Youth Foundation,Nigeria
IntraHealth International Inc.,Nigeria
Jhpiego,Nigeria
Lions Club International Foundation,Nigeria
Management Sciences for Health (MSH),Nigeria
Medical Care Development,Nigeria
Millennium Promise,Nigeria
ONE Campaign,Nigeria
One Economy Corporation,Nigeria
Operation Blessing International Relief and Development Corporation,Nigeria
Pact,Nigeria
PATH,Nigeria
Pathfinder International,Nigeria
PCI-Media Impact,Nigeria
Physicians for Peace,Nigeria
Project C.U.R.E,Nigeria
ProLiteracy Worldwide,Nigeria
Relief International,Nigeria
Save the Children,Nigeria
Society for International Development (SID),Nigeria
Solidarity Center,Nigeria
Stop Hunger Now,Nigeria
United Nations Foundation,Nigeria
United Way Worldwide,Nigeria
Water Aid America,Nigeria
Winrock International,Nigeria
Women for Women International,Nigeria
American Friends Service Committee,North Korea
AmeriCares,North Korea
Catholic Relief Services,North Korea
CONCERN Worldwide,North Korea
Global Resource Services,North Korea
Handicap International USA,North Korea
Heart to Heart International,North Korea
Korean American Sharing Movement,North Korea
Mercy Corps,North Korea
Project C.U.R.E,North Korea
Stop Hunger Now,North Korea
Taiwan Buddhist Tzu Chi Foundation,North Korea
World Vision,North Korea
Habitat for Humanity International,Northern Ireland
Adventist Development and Relief Agency International,Norway
Baptist World Alliance,Norway
Global Health Council,Norway
International Foundation for Electoral Systems (IFES),Norway
Lions Club International Foundation,Norway
Religions for Peace,Norway
United Nations Foundation,Norway
Action Against Hunger | ACF International,Pakistan
ActionAid International USA,Pakistan
Adventist Development and Relief Agency International,Pakistan
Aga Khan Foundation USA,Pakistan
American Jewish World Service,Pakistan
American Red Cross International Services,Pakistan
American Refugee Committee,Pakistan
AmeriCares,Pakistan
BRAC USA,Pakistan
Brother's Brother Foundation,Pakistan
Campaign for Innocent Victims in Conflict,Pakistan
CARE,Pakistan
Catholic Relief Services,Pakistan
CBM,Pakistan
CHF International,Pakistan
Christian Reformed World Relief Committee,Pakistan
Church World Service,Pakistan
CONCERN Worldwide,Pakistan
Direct Relief International,Pakistan
Education Development Center (EDC),Pakistan
Friends of ACTED,Pakistan
Giving Children Hope,Pakistan
Global Fund for Children,Pakistan
Global Health Council,Pakistan
GlobalGiving,Pakistan
Handicap International USA,Pakistan
Heart to Heart International,Pakistan
HelpAge USA,Pakistan
Helping Hand for Relief and Development,Pakistan
Information Management and Mine Action Programs (IMMAP),Pakistan
International Catholic Migration Commission (ICMC),Pakistan
International Center for Not-for-Profit Law,Pakistan
International Foundation for Electoral Systems (IFES),Pakistan
International Medical Corps,Pakistan
International Medical Health Organization (IMHO),Pakistan
International Relief & Development,Pakistan
International Relief Teams,Pakistan
International Youth Foundation,Pakistan
Islamic Relief USA,Pakistan
Jhpiego,Pakistan
Life for Relief and Development,Pakistan
Lions Club International Foundation,Pakistan
Management Sciences for Health (MSH),Pakistan
Medical Emergency Relief International (Merlin),Pakistan
Mercy Corps,Pakistan
Operation USA,Pakistan
PATH,Pakistan
Pathfinder International,Pakistan
Plan,Pakistan
Presbyterian Disaster Assistance,Pakistan
Project C.U.R.E,Pakistan
ProLiteracy Worldwide,Pakistan
Refugees International,Pakistan
Relief International,Pakistan
Save the Children,Pakistan
Solidarity Center,Pakistan
Stop Hunger Now,Pakistan
Taiwan Buddhist Tzu Chi Foundation,Pakistan
Unitarian Universalist Service Committee,Pakistan
Management Sciences for Health (MSH),Afghanistan
Management Sciences for Health (MSH),Albania
Management Sciences for Health (MSH),Angola
Management Sciences for Health (MSH),Armenia
United Nations Foundation,Pakistan
USA for UNHCR,Pakistan
Water Aid America,Pakistan
Winrock International,Pakistan
World Hope International,Pakistan
World Rehabilitation Fund,Pakistan
World Vision,Pakistan
Lions Club International Foundation,Palau
American Red Cross International Services,Panama
AmeriCares,Panama
America's Development Foundation,Panama
Americas ReliefTeam,Panama
Amigos de las Americas,Panama
Baptist World Alliance,Panama
Brother's Brother Foundation,Panama
Congressional Hunger Center,Panama
Family Care International,Panama
Food for the Poor (FFP),Panama
Global Fund for Children,Panama
Global Health Council,Panama
GlobalGiving,Panama
Heart to Heart International,Panama
International Center for Not-for-Profit Law,Panama
International Rescue Committee (IRC),Panama
IntraHealth International Inc.,Panama
Jesuit Refugee Service,Panama
Lions Club International Foundation,Panama
Pan American Development Foundation,Panama
Perkins International,Panama
Physicians for Peace,Panama
Population Action International,Panama
Project C.U.R.E,Panama
Stop Hunger Now,Panama
United Way Worldwide,Panama
Adventist Development and Relief Agency International,Papua New Guinea
American Red Cross International Services,Papua New Guinea
Baptist World Alliance,Papua New Guinea
CARE,Papua New Guinea
CBM,Papua New Guinea
Direct Relief International,Papua New Guinea
Global Health Council,Papua New Guinea
Heart to Heart International,Papua New Guinea
International Center for Research on Women (ICRW),Papua New Guinea
International Rescue Committee (IRC),Papua New Guinea
Jesuit Refugee Service,Papua New Guinea
Lions Club International Foundation,Papua New Guinea
Pathfinder International,Papua New Guinea
Project C.U.R.E,Papua New Guinea
Save the Children,Papua New Guinea
Taiwan Buddhist Tzu Chi Foundation,Papua New Guinea
Water Aid America,Papua New Guinea
Winrock International,Papua New Guinea
World Vision,Papua New Guinea
ACDI/VOCA,Paraguay
Action Against Hunger | ACF International,Paraguay
Adventist Development and Relief Agency International,Paraguay
American Red Cross International Services,Paraguay
AmeriCares,Paraguay
Americas ReliefTeam,Paraguay
Amigos de las Americas,Paraguay
Baptist World Alliance,Paraguay
Brother's Brother Foundation,Paraguay
CBM,Paraguay
Church World Service,Paraguay
GlobalGiving,Paraguay
Habitat for Humanity International,Paraguay
International Center for Not-for-Profit Law,Paraguay
International Foundation for Electoral Systems (IFES),Paraguay
International Youth Foundation,Paraguay
Jhpiego,Paraguay
Lions Club International Foundation,Paraguay
Management Sciences for Health (MSH),Paraguay
Perkins International,Paraguay
Plan,Paraguay
Project C.U.R.E,Paraguay
ProLiteracy Worldwide,Paraguay
Save the Children,Paraguay
Solidarity Center,Paraguay
Taiwan Buddhist Tzu Chi Foundation,Paraguay
ACDI/VOCA,Peru
Action Against Hunger | ACF International,Peru
ActionAid International USA,Peru
Adventist Development and Relief Agency International,Peru
American Jewish World Service,Peru
American Red Cross International Services,Peru
AmeriCares,Peru
Americas ReliefTeam,Peru
Amigos de las Americas,Peru
Baptist World Alliance,Peru
Brother's Brother Foundation,Peru
CARE,Peru
Catholic Relief Services,Peru
Creative Learning,Peru
Medical Care Development,Angola
Direct Relief International,Peru
Episcopal Relief & Development,Peru
Family Care International,Peru
Freedom from Hunger,Peru
Giving Children Hope,Peru
Global Fund for Children,Peru
Global Health Council,Peru
GlobalGiving,Peru
Habitat for Humanity International,Peru
Heart to Heart International,Peru
Heifer International,Peru
HelpAge USA,Peru
INMED Partnerships for Children,Peru
International Center for Not-for-Profit Law,Peru
International Center for Research on Women (ICRW),Peru
Medical Emergency Relief International (Merlin),Afghanistan
International Youth Foundation,Peru
Jhpiego,Peru
Lions Club International Foundation,Peru
Lutheran World Relief (LWR),Peru
Management Sciences for Health (MSH),Peru
Operation Blessing International Relief and Development Corporation,Peru
Operation USA,Peru
Oxfam America,Peru
Pan American Development Foundation,Peru
Pan American Health and Education Foundation (PAHEF),Peru
PATH,Peru
Pathfinder International,Peru
PCI-Media Impact,Peru
Perkins International,Peru
Medical Teams International,Afghanistan
Plan,Peru
Project C.U.R.E,Peru
ProLiteracy Worldwide,Peru
Religions for Peace,Peru
ReSurge International,Peru
Save the Children,Peru
Solidarity Center,Peru
Stop Hunger Now,Peru
Taiwan Buddhist Tzu Chi Foundation,Peru
The Hunger Project,Peru
Unitarian Universalist Service Committee,Peru
United Nations Foundation,Peru
United Way Worldwide,Peru
World Connect,Peru
World Neighbors,Peru
World Vision,Peru
World Wildlife Fund (WWF),Peru
ACDI/VOCA,Philippines
Action Against Hunger | ACF International,Philippines
Adventist Development and Relief Agency International,Philippines
American Red Cross International Services,Philippines
AmeriCares,Philippines
Ananda Marga Universal Relief Team,Philippines
Baptist World Alliance,Philippines
Bethany Christian Service International,Philippines
Brother's Brother Foundation,Philippines
CARE,Philippines
Mercy Corps,Afghanistan
Catholic Relief Services,Philippines
CBM,Philippines
ChildFund International,Philippines
Christian Reformed World Relief Committee,Philippines
Direct Relief International,Philippines
Education Development Center (EDC),Philippines
Episcopal Relief & Development,Philippines
Freedom from Hunger,Philippines
Giving Children Hope,Philippines
Global Fund for Children,Philippines
Global Health Council,Philippines
Global Resource Services,Philippines
GlobalGiving,Philippines
Habitat for Humanity International,Philippines
Handicap International USA,Philippines
Heart to Heart International,Philippines
Heifer International,Philippines
Helen Keller International,Philippines
Holt International Children's Services,Philippines
International Center for Not-for-Profit Law,Philippines
International Foundation for Electoral Systems (IFES),Philippines
International Medical Health Organization (IMHO),Philippines
International Social Service - United States of America Branch Inc.,Philippines
International Youth Foundation,Philippines
Jesuit Refugee Service,Philippines
Jhpiego,Philippines
Lions Club International Foundation,Philippines
Lutheran World Relief (LWR),Philippines
Management Sciences for Health (MSH),Philippines
Medical Emergency Relief International (Merlin),Philippines
Mercy Corps,Philippines
Operation Blessing International Relief and Development Corporation,Philippines
Outreach International,Philippines
Oxfam America,Philippines
PATH,Philippines
Perkins International,Philippines
Physicians for Peace,Philippines
Plan,Philippines
Project C.U.R.E,Philippines
ProLiteracy Worldwide,Philippines
Relief International,Philippines
Mercy USA for Aid and Development,Albania
Save the Children,Philippines
Solidarity Center,Philippines
Taiwan Buddhist Tzu Chi Foundation,Philippines
The Global FoodBanking Network (GFN),Philippines
Unitarian Universalist Service Committee,Philippines
United Way Worldwide,Philippines
Winrock International,Philippines
World Connect,Philippines
World Hope International,Philippines
World Vision,Philippines
American Jewish Joint Distribution Committee,Poland
AmeriCares,Poland
Baptist World Alliance,Poland
GlobalGiving,Poland
Habitat for Humanity International,Poland
Heifer International,Poland
International Center for Not-for-Profit Law,Poland
International Youth Foundation,Poland
Lions Club International Foundation,Poland
Perkins International,Poland
Project C.U.R.E,Poland
United Way Worldwide,Poland
Adventist Development and Relief Agency International,Portugal
Aga Khan Foundation USA,Portugal
Baptist World Alliance,Portugal
Global Health Council,Portugal
Habitat for Humanity International,Portugal
International Social Service - United States of America Branch Inc.,Portugal
International Youth Foundation,Portugal
Jesuit Refugee Service,Portugal
Lions Club International Foundation,Portugal
International Youth Foundation,Puerto Rico
Solidarity Center,Qatar
ActionAid International USA,Republic of Congo
African Medical & Research Foundation,Republic of Congo
American Red Cross International Services,Republic of Congo
Catholic Relief Services,Republic of Congo
Friends of ACTED,Republic of Congo
Giving Children Hope,Republic of Congo
Global Health Council,Republic of Congo
GlobalGiving,Republic of Congo
Lions Club International Foundation,Republic of Congo
Stop Hunger Now,Republic of Congo
Winrock International,Republic of Congo
Operation Blessing International Relief and Development Corporation,Afghanistan
World Wildlife Fund (WWF),Republic of Congo
Adventist Development and Relief Agency International,Romania
American Jewish Joint Distribution Committee,Romania
AmeriCares,Romania
America's Development Foundation,Romania
Ananda Marga Universal Relief Team,Romania
Baptist World Alliance,Romania
Bethany Christian Service International,Romania
Brother's Brother Foundation,Romania
CARE,Romania
CHF International,Romania
Development Gateway,Romania
Direct Relief International,Romania
Global Fund for Children,Romania
Global Health Council,Romania
GlobalGiving,Romania
Habitat for Humanity International,Romania
Heart to Heart International,Romania
Heifer International,Romania
Holt International Children's Services,Romania
International Center for Not-for-Profit Law,Romania
International Orthodox Christian Charities (IOCC),Romania
International Youth Foundation,Romania
Jesuit Refugee Service,Romania
Lions Club International Foundation,Romania
Management Sciences for Health (MSH),Romania
Medical Teams International,Romania
Perkins International,Romania
Project C.U.R.E,Romania
Save the Children,Romania
United Way Worldwide,Romania
World Vision,Romania
ACDI/VOCA,Russia
Adventist Development and Relief Agency International,Russia
Aga Khan Foundation USA,Russia
American Jewish Joint Distribution Committee,Russia
American Red Cross International Services,Russia
AmeriCares,Russia
America's Development Foundation,Russia
Baptist World Alliance,Russia
Bethany Christian Service International,Russia
Giving Children Hope,Russia
Global Health Council,Russia
GlobalGiving,Russia
Habitat for Humanity International,Russia
Handicap International USA,Russia
Hebrew Immigrant Aid Society,Russia
Helping Hand for Relief and Development,Russia
International Center for Not-for-Profit Law,Russia
International Medical Corps,Russia
International Orthodox Christian Charities (IOCC),Russia
International Rescue Committee (IRC),Russia
International Youth Foundation,Russia
Keystone Human Services International,Russia
Lions Club International Foundation,Russia
Management Sciences for Health (MSH),Russia
Perkins International,Russia
Presbyterian Disaster Assistance,Russia
Project C.U.R.E,Russia
Solidarity Center,Russia
Stop Hunger Now,Russia
United Nations Foundation,Russia
United Way Worldwide,Russia
Winrock International,Russia
World Vision,Russia
World Wildlife Fund (WWF),Russia
ACDI/VOCA,Rwanda
ActionAid International USA,Rwanda
Adventist Development and Relief Agency International,Rwanda
Africare,Rwanda
American Refugee Committee,Rwanda
AmeriCares,Rwanda
Baptist World Alliance,Rwanda
Brother's Brother Foundation,Rwanda
CARE,Rwanda
Catholic Relief Services,Rwanda
CBM,Rwanda
CHF International,Rwanda
Church World Service,Rwanda
CONCERN Worldwide,Rwanda
Congressional Hunger Center,Rwanda
Development Gateway,Rwanda
Direct Relief International,Rwanda
Education Development Center (EDC),Rwanda
Global Fund for Children,Rwanda
Global Health Council,Rwanda
GlobalGiving,Rwanda
Handicap International USA,Rwanda
Heartland Alliance,Rwanda
Heifer International,Rwanda
International Center for Not-for-Profit Law,Rwanda
International Center for Research on Women (ICRW),Rwanda
International Foundation for Electoral Systems (IFES),Rwanda
International Rescue Committee (IRC),Rwanda
IntraHealth International Inc.,Rwanda
Jesuit Refugee Service,Rwanda
Jhpiego,Rwanda
Lions Club International Foundation,Rwanda
Management Sciences for Health (MSH),Rwanda
Millennium Promise,Rwanda
PATH,Rwanda
Plan,Rwanda
Project C.U.R.E,Rwanda
ProLiteracy Worldwide,Rwanda
Save the Children,Rwanda
Solidarity Center,Rwanda
Stop Hunger Now,Rwanda
Taiwan Buddhist Tzu Chi Foundation,Rwanda
United Nations Foundation,Rwanda
Winrock International,Rwanda
Women for Women International,Rwanda
World Concern,Rwanda
World Connect,Rwanda
World Relief,Rwanda
World Vision,Rwanda
American Red Cross International Services,Samoa
Brother's Brother Foundation,Samoa
Catholic Relief Services,Samoa
Lions Club International Foundation,Samoa
Project C.U.R.E,Samoa
World Wildlife Fund (WWF),Samoa
Lions Club International Foundation,San Marino
Pan American Health and Education Foundation (PAHEF),Argentina
Adventist Development and Relief Agency International,Sao Tome and Principe
Lions Club International Foundation,Sao Tome and Principe
Taiwan Buddhist Tzu Chi Foundation,Sao Tome and Principe
Winrock International,Sao Tome and Principe
Global Health Council,Saudi Arabia
International Youth Foundation,Saudi Arabia
ActionAid International USA,Senegal
Adventist Development and Relief Agency International,Senegal
African Medical & Research Foundation,Senegal
Africare,Senegal
American Jewish World Service,Senegal
American Red Cross International Services,Senegal
AmeriCares,Senegal
Brother's Brother Foundation,Senegal
Catholic Relief Services,Senegal
ChildFund International,Senegal
Christian Reformed World Relief Committee,Senegal
PATH,Albania
PATH,Argentina
PATH,Armenia
PATH,Australia
Congressional Hunger Center,Senegal
Counterpart International,Senegal
Development Gateway,Senegal
Direct Relief International,Senegal
Freedom from Hunger,Senegal
Global Fund for Children,Senegal
Global Health Council,Senegal
GlobalGiving,Senegal
Habitat for Humanity International,Senegal
Handicap International USA,Senegal
Heart to Heart International,Senegal
Heifer International,Senegal
Helen Keller International,Senegal
International Center for Not-for-Profit Law,Senegal
International Center for Research on Women (ICRW),Senegal
International Foundation for Electoral Systems (IFES),Senegal
International Relief & Development,Senegal
International Rescue Committee (IRC),Senegal
International Youth Foundation,Senegal
IntraHealth International Inc.,Senegal
Jhpiego,Senegal
Lions Club International Foundation,Senegal
Management Sciences for Health (MSH),Senegal
Millennium Promise,Senegal
Oxfam America,Senegal
PATH,Senegal
Plan,Senegal
Project C.U.R.E,Senegal
Relief International,Senegal
Save the Children,Senegal
Taiwan Buddhist Tzu Chi Foundation,Senegal
The Hunger Project,Senegal
United Nations Foundation,Senegal
Winrock International,Senegal
World Connect,Senegal
World Vision,Senegal
Adventist Development and Relief Agency International,Serbia
American Jewish Joint Distribution Committee,Serbia
America's Development Foundation,Serbia
Baptist World Alliance,Serbia
CARE,Serbia
